topic;words
0.0;model network algorithm design data time method control process perform circuit system power simul comput propos applic test implement approach optim function present problem imag analysi high techniqu architectur parallel
1.0;model logic languag program fuzzi problem algorithm agent system control semant method time approach function data rule theori type network optim comput order object structur learn relat process general inform
2.0;imag method featur learn data algorithm model classif estim propos detect train network cluster recognit neural segment approach sampl dataset classifi object problem perform function extract accuraci label measur deep
3.0;student learn social research user inform data knowledg educ develop model technolog studi design interact game project languag process ontolog system support cours tool scienc experi softwar document approach onlin
4.0;network traffic mobil wireless servic packet data protocol energi control power communic time video devic rout model perform applic sensor design manag propos simul system stream algorithm architectur high monitor
5.0;network resourc servic cloud data schedul applic user comput cach distribut energi perform mobil server price manag model optim time alloc memori system cost polici access algorithm control share virtual
6.0;imag robot motion camera human method track object detect segment visual brain sensor patient model estim surfac featur control measur video shape bodi movement activ recognit interact propos scene hand
7.0;graph problem algorithm optim solut approxim solv polynomi number edg bound method function tree search time equat vertic linear comput converg general prove vertex schedul path bind constraint give point
8.0;channel cod interfer relay antenna scheme mimo signal receiv power transmiss network decod frequenc rate wireless multipl communic user spectrum radio fade error perform estim transmit alloc optim ofdm nois
9.0;control stabil nonlinear system delay linear equat time dynam disturb method state switch feedback condit design optim model lyapunov output fault paramet fuzzi problem function adapt robust discret numer propos
10.0;vehicl safeti model system formal softwar verif cyber test design control develop specif languag driver vanet tool time patient road vehicular drive petri approach health program process analysi applic simul
11.0;sensor network energi rout nod wireless node protocol cluster mobil algorithm consumpt attack wsns data packet lifetim communic power effici scheme batteri propos transmiss simul path topolog delay distribut coverag
12.0;servic secur softwar user manag busi cloud model develop data applic system process privaci architectur technolog inform design network smart mobil environ framework product trust devic support attack provid integr
13.0;protein gene genom sequenc biolog drug molecular predict data pathway structur cancer cell express diseas interact molecul databas microarray align bind regulatori ligand bioinformat dock phenotyp network analysi compound transcript
14.0;encrypt secur authent signatur attack scheme biometr protocol secret cipher cryptographi cryptograph password vote cach key bandit ciphertext regret proxi decrypt certif homomorph messag ellipt public hash round curv ident
15.0;food precondition matroid quot submodular satellit smoke precondit textil treewidth schur rendezv krylov wetland flip retinopathi diabet pebbl nutrit chirp superlinear earth orbit diet nanotub modi rainfal flop gmres erlang
16.0;speech watermark compress cod imag video speaker wavelet recognit quantize audio transform encod acoust frame filter distort signal block emb qualiti fingerprint decod jpeg nois scheme rate method propos cnns
17.0;ein werden wird crack liver underlay zusammenfassung einer sparql sind auch nicht dass metamodel methyl dieser oder debt kroneck depot biomass hysteresi checkpoint subgroup memrist fuzzi welch backscatt ablat unwrap
18.0;lane clone adder paint splice platoon firefli photo aerosol simplex capsul road vortex fractal python warranti geospati wavelength toll quasilinear exon touchscreen latin curat hypertext vortic femto vehicl ebook codon
19.0;epidem poset motif infect peptid rumor moea coalgebra tournament riccati friendship outbreak forbid diseas spread rake functor sing hedon subpopul utilitarian antichain ribosom meme homophili curl lookahead furnac wakeup postal
